Miasto,Powiat,Województwo,Powierzchnia [ha] (01.01.2021),Liczba ludności (01.01.2021),Gęstość zaludnienia [osoby/km²] (01.01.2021)
Michałowo,białostocki,podlaskie,215,2983,1387
Miechów,miechowski,małopolskie,1549,11500,742
Miejska Górka,rawicki,wielkopolskie,314,3203,1020
Mielec,mielecki,podkarpackie,4689,60075,1281
Mielno,koszaliński,zachodniopomorskie,3345,2898,87
Mieroszów,wałbrzyski,dolnośląskie,1031,3964,384
Mieszkowice,gryfiński,zachodniopomorskie,525,3577,681
Mieścisko,wągrowiecki,wielkopolskie,1134,2362,208
Międzybórz,oleśnicki,dolnośląskie,641,2341,365
Międzychód,międzychodzki,wielkopolskie,698,10476,1501
Międzylesie,kłodzki,dolnośląskie,1437,2514,175
Międzyrzec Podlaski,bialski,lubelskie,2003,16667,832
Międzyrzecz,międzyrzecki,lubuskie,1026,17667,1722
Międzyzdroje,kamieński,zachodniopomorskie,516,5307,1028
Miękinia,średzki,dolnośląskie,1104,2078,188
